,gene1,gene2,result
84,G:HGNC:1077,G:HGNC:20156,"Meta path:['GMG'], rank is 14 and total rank is 271"
85,G:HGNC:11387,G:HGNC:42,"Meta path:['GMDMG'], rank is 1980 and total rank is 2994"
86,G:HGNC:30855,G:HGNC:5425,"Meta path:['GTG'], rank is 178 and total rank is 408"
87,G:HGNC:26837,G:HGNC:23484,"Meta path:['GTG'], rank is 75 and total rank is 370"
88,G:HGNC:29068,G:HGNC:33139,"Meta path:['GTG'], rank is 61 and total rank is 250"
89,G:HGNC:12333,G:HGNC:26942,"Meta path:['GTG'], rank is 271 and total rank is 429"
90,G:HGNC:24282,G:HGNC:14179,"Meta path:['GTG'], rank is 86 and total rank is 309"
91,G:HGNC:26033,G:HGNC:18726,"Meta path:['GMDpDMG'], rank is 1 and total rank is 2296"
92,G:HGNC:1632,G:HGNC:3431,"Meta path:['GTG', 'GMDMG', 'GMDpDMG'], rank is 128 and total rank is 13295"
93,G:HGNC:14908,G:HGNC:20264,"Meta path:['GMDMG'], rank is 428 and total rank is 2110"
94,G:HGNC:11306,G:HGNC:15453,"Meta path:['GTG'], rank is 426 and total rank is 565"
95,G:HGNC:17718,G:HGNC:7599,"Meta path:['GMG'], rank is 26 and total rank is 350"
96,G:HGNC:3245,G:HGNC:30313,"Meta path:['GTG'], rank is 134 and total rank is 486"
97,G:HGNC:9973,G:HGNC:24101,"Meta path:['GTG'], rank is 191 and total rank is 455"
98,G:HGNC:4179,G:HGNC:27475,"Meta path:['GTG'], rank is 84 and total rank is 316"
99,G:HGNC:26453,G:HGNC:3011,"Meta path:['GTG'], rank is 35 and total rank is 287"
100,G:HGNC:21097,G:HGNC:25784,"Meta path:['GTG'], rank is 95 and total rank is 342"
101,G:HGNC:24624,G:HGNC:6947,"Meta path:['GTG'], rank is 208 and total rank is 411"
102,G:HGNC:33116,G:HGNC:18182,"Meta path:['GMG'], rank is 5 and total rank is 227"
103,G:HGNC:28900,G:HGNC:21351,"Meta path:['GMDMG'], rank is 72 and total rank is 1749"
104,G:HGNC:20074,G:HGNC:12984,"Meta path:['GTG'], rank is 53 and total rank is 391"
