,gene1,gene2,result
149,G:HGNC:28155,G:HGNC:28351,"Meta path:['GMDMG'], rank is 104 and total rank is 1820"
150,G:HGNC:9836,G:HGNC:12032,"Meta path:['GTG'], rank is 404 and total rank is 586"
151,G:HGNC:546,G:HGNC:5581,"Meta path:['GTG'], rank is 235 and total rank is 383"
152,G:HGNC:9320,G:HGNC:26716,"Meta path:['GTG'], rank is 61 and total rank is 280"
153,G:HGNC:44657,G:HGNC:18015,"Meta path:['GTG'], rank is 83 and total rank is 322"
154,G:HGNC:22999,G:HGNC:18318,"Meta path:['GMDpDMG'], rank is 833 and total rank is 3394"
155,G:HGNC:49981,G:HGNC:32138,"Meta path:['GTG'], rank is 62 and total rank is 200"
156,G:HGNC:11321,G:HGNC:28412,"Meta path:['GTG'], rank is 106 and total rank is 465"
157,G:HGNC:14142,G:HGNC:21637,"Meta path:['GTG'], rank is 220 and total rank is 521"
158,G:HGNC:25966,G:HGNC:53085,"Meta path:['GTG'], rank is 84 and total rank is 331"
159,G:HGNC:13261,G:HGNC:29607,"Meta path:['GTG'], rank is 315 and total rank is 464"
160,G:HGNC:24820,G:HGNC:23526,"Meta path:['GMDMG'], rank is 1051 and total rank is 2196"
161,G:HGNC:26139,G:HGNC:18631,"Meta path:['GMDpDMG'], rank is 682 and total rank is 4363"
162,G:HGNC:5735,G:HGNC:16937,"Meta path:['GTG'], rank is 125 and total rank is 349"
163,G:HGNC:26552,G:HGNC:19190,"Meta path:['GTG'], rank is 78 and total rank is 295"
164,G:HGNC:12989,G:HGNC:25782,"Meta path:['GTG'], rank is 49 and total rank is 414"
165,G:HGNC:24614,G:HGNC:29135,"Meta path:['GMG'], rank is 241 and total rank is 544"
166,G:HGNC:16133,G:HGNC:9606,"Meta path:['GTG'], rank is 363 and total rank is 465"
167,G:HGNC:1445,G:HGNC:32370,"Meta path:['GTG'], rank is 253 and total rank is 508"
168,G:HGNC:28456,G:HGNC:6448,"Meta path:['GTG'], rank is 136 and total rank is 362"
169,G:HGNC:7103,G:HGNC:2498,"Meta path:['GDpDpDG'], rank is 3215 and total rank is 4121"
170,G:HGNC:28334,G:HGNC:4913,"Meta path:['GTG'], rank is 222 and total rank is 546"
171,G:HGNC:9866,G:HGNC:12594,"Meta path:['GMG'], rank is 69 and total rank is 355"
172,G:HGNC:15844,G:HGNC:11827,"Meta path:['GTG'], rank is 103 and total rank is 427"
173,G:HGNC:30743,G:HGNC:25845,"Meta path:['GMDpDMG'], rank is 200 and total rank is 3492"
174,G:HGNC:3778,G:HGNC:11237,"Meta path:['GDpDG'], rank is 184 and total rank is 338"
175,G:HGNC:24852,G:HGNC:1685,"Meta path:['GTG'], rank is 96 and total rank is 406"
176,G:HGNC:914,G:HGNC:4591,"Meta path:['GMG'], rank is 82 and total rank is 933"
177,G:HGNC:11393,G:HGNC:3547,"Meta path:['GTG'], rank is 404 and total rank is 629"
178,G:HGNC:9658,G:HGNC:7998,"Meta path:['GTG'], rank is 508 and total rank is 674"
179,G:HGNC:18248,G:HGNC:24097,"Meta path:['GTG'], rank is 194 and total rank is 400"
180,G:HGNC:9504,G:HGNC:24275,"Meta path:['GTG'], rank is 171 and total rank is 366"
181,G:HGNC:9920,G:HGNC:26763,"Meta path:['GTG'], rank is 69 and total rank is 283"
182,G:HGNC:24636,G:HGNC:6137,"Meta path:['GMG', 'GMDMG'], rank is 68 and total rank is 11205"
183,G:HGNC:21166,G:HGNC:3708,"Meta path:['GTG'], rank is 317 and total rank is 459"
184,G:HGNC:19616,G:HGNC:24338,"Meta path:['GTG'], rank is 98 and total rank is 303"
185,G:HGNC:20278,G:HGNC:15482,"Meta path:['GMDpDMG'], rank is 170 and total rank is 5005"
186,G:HGNC:13746,G:HGNC:16013,"Meta path:['GMDMG'], rank is 2724 and total rank is 3544"
187,G:HGNC:25945,G:HGNC:28866,"Meta path:['GMG'], rank is 889 and total rank is 1005"
188,G:HGNC:8685,G:HGNC:16863,"Meta path:['GMDMG'], rank is 13 and total rank is 2320"
189,G:HGNC:15143,G:HGNC:12518,"Meta path:['GTG'], rank is 86 and total rank is 300"
190,G:HGNC:15260,G:HGNC:3618,"Meta path:['GTG'], rank is 277 and total rank is 519"
191,G:HGNC:26604,G:HGNC:25666,"Meta path:['GTG'], rank is 101 and total rank is 342"
192,G:HGNC:2370,G:HGNC:8979,"Meta path:['GTG'], rank is 385 and total rank is 722"
193,G:HGNC:24965,G:HGNC:29155,"Meta path:['GTG'], rank is 149 and total rank is 378"
194,G:HGNC:23514,G:HGNC:12632,"Meta path:['GTG'], rank is 265 and total rank is 444"
195,G:HGNC:2495,G:HGNC:3380,"Meta path:['GMG'], rank is 263 and total rank is 516"
196,G:HGNC:28981,G:HGNC:26979,"Meta path:['GTG'], rank is 115 and total rank is 402"
197,G:HGNC:11161,G:HGNC:23836,"Meta path:['GTG'], rank is 207 and total rank is 493"
