D:DiseaseID:12603,G:HGNC:4204
D:DiseaseID:12821,G:HGNC:3542
D:DiseaseID:12822,G:HGNC:19016
D:DiseaseID:12823,G:HGNC:9451
D:DiseaseID:12824,G:HGNC:14631
D:DiseaseID:12825,G:HGNC:13841
D:DiseaseID:12826,G:HGNC:2938
D:DiseaseID:12827,G:HGNC:29401
D:DiseaseID:12828,G:HGNC:28900
D:DiseaseID:12829,G:HGNC:16192
D:DiseaseID:12830,G:HGNC:21863
D:DiseaseID:12831,G:HGNC:21022
D:DiseaseID:12832,G:HGNC:24036
D:DiseaseID:12833,G:HGNC:24912
D:DiseaseID:12834,G:HGNC:21071
D:DiseaseID:12835,G:HGNC:24281
D:DiseaseID:12836,G:HGNC:29253
D:DiseaseID:12837,G:HGNC:16618
D:DiseaseID:12838,G:HGNC:14499
D:DiseaseID:12839,G:HGNC:14495
D:DiseaseID:12840,G:HGNC:28636
D:DiseaseID:12841,G:HGNC:29882
D:DiseaseID:12842,G:HGNC:23094
D:DiseaseID:12843,G:HGNC:30220
D:DiseaseID:12844,G:HGNC:29515
D:DiseaseID:12845,G:HGNC:3444
D:DiseaseID:12846,G:HGNC:23719
D:DiseaseID:12847,G:HGNC:14282
D:DiseaseID:12848,G:HGNC:18481
D:DiseaseID:12849,G:HGNC:25812
D:DiseaseID:12850,G:HGNC:24039
D:DiseaseID:12851,G:HGNC:30521
D:DiseaseID:12852,G:HGNC:30551
D:DiseaseID:12853,G:HGNC:26953
D:DiseaseID:12854,G:HGNC:19082
D:DiseaseID:12855,G:HGNC:19082
D:DiseaseID:12856,G:HGNC:3804
D:DiseaseID:12857,G:HGNC:15802
D:DiseaseID:12858,G:HGNC:28852
D:DiseaseID:12859,G:HGNC:25640
D:DiseaseID:12860,G:HGNC:25640
D:DiseaseID:12861,G:HGNC:29017
D:DiseaseID:12862,G:HGNC:23505
D:DiseaseID:12863,G:HGNC:19191
D:DiseaseID:12864,G:HGNC:2993
D:DiseaseID:12865,G:HGNC:2993
D:DiseaseID:12866,G:HGNC:16974
D:DiseaseID:12867,G:HGNC:29284
D:DiseaseID:12868,G:HGNC:18345
D:DiseaseID:12869,G:HGNC:14889
D:DiseaseID:12870,G:HGNC:25947
D:DiseaseID:12871,G:HGNC:19181
D:DiseaseID:12872,G:HGNC:19181
D:DiseaseID:12873,G:HGNC:30497
D:DiseaseID:12874,G:HGNC:393
D:DiseaseID:12875,G:HGNC:28993
D:DiseaseID:12876,G:HGNC:28993
D:DiseaseID:12877,G:HGNC:1349
D:DiseaseID:12878,G:HGNC:25355
D:DiseaseID:12879,G:HGNC:29099
D:DiseaseID:12880,G:HGNC:28486
D:DiseaseID:12881,G:HGNC:21497
D:DiseaseID:12882,G:HGNC:22140
D:DiseaseID:12883,G:HGNC:15573
D:DiseaseID:12884,G:HGNC:24861
D:DiseaseID:12885,G:HGNC:20661
D:DiseaseID:12886,G:HGNC:10931
D:DiseaseID:12887,G:HGNC:23141
D:DiseaseID:12888,G:HGNC:24678
D:DiseaseID:12889,G:HGNC:24678
D:DiseaseID:12890,G:HGNC:25538
D:DiseaseID:12836,G:HGNC:29168
D:DiseaseID:12892,G:HGNC:15864
D:DiseaseID:12893,G:HGNC:21033
D:DiseaseID:12894,G:HGNC:20105
D:DiseaseID:12895,G:HGNC:27089
D:DiseaseID:12896,G:HGNC:29683
D:DiseaseID:12897,G:HGNC:23406
D:DiseaseID:12898,G:HGNC:4908
D:DiseaseID:12899,G:HGNC:20967
D:DiseaseID:12900,G:HGNC:28213
D:DiseaseID:12901,G:HGNC:8772
D:DiseaseID:12902,G:HGNC:8772
D:DiseaseID:12903,G:HGNC:19347
D:DiseaseID:12904,G:HGNC:26742
D:DiseaseID:12905,G:HGNC:21304
D:DiseaseID:12906,G:HGNC:29239
D:DiseaseID:12907,G:HGNC:28980
D:DiseaseID:12908,G:HGNC:24671
D:DiseaseID:12909,G:HGNC:28583
D:DiseaseID:12910,G:HGNC:28583
D:DiseaseID:12911,G:HGNC:29277
D:DiseaseID:12912,G:HGNC:2955
D:DiseaseID:12913,G:HGNC:26941
D:DiseaseID:12914,G:HGNC:23230
D:DiseaseID:12915,G:HGNC:6903
D:DiseaseID:12916,G:HGNC:25009
D:DiseaseID:12917,G:HGNC:29812
D:DiseaseID:12918,G:HGNC:24247
D:DiseaseID:12919,G:HGNC:30213
D:DiseaseID:12920,G:HGNC:10702
D:DiseaseID:12921,G:HGNC:18647
D:DiseaseID:12922,G:HGNC:21042
D:DiseaseID:12923,G:HGNC:1348
D:DiseaseID:12924,G:HGNC:18654
D:DiseaseID:12925,G:HGNC:21150
D:DiseaseID:12926,G:HGNC:29796
D:DiseaseID:12927,G:HGNC:20449
D:DiseaseID:12928,G:HGNC:19317
D:DiseaseID:12929,G:HGNC:23145
D:DiseaseID:12930,G:HGNC:31399
D:DiseaseID:12931,G:HGNC:26594
D:DiseaseID:12932,G:HGNC:29569
D:DiseaseID:12933,G:HGNC:25896
D:DiseaseID:12934,G:HGNC:23213
D:DiseaseID:12935,G:HGNC:26031
D:DiseaseID:12936,G:HGNC:18858
D:DiseaseID:12937,G:HGNC:14937
D:DiseaseID:12938,G:HGNC:21610
D:DiseaseID:12939,G:HGNC:25481
D:DiseaseID:12940,G:HGNC:27845
D:DiseaseID:12941,G:HGNC:18750
D:DiseaseID:12942,G:HGNC:28845
D:DiseaseID:12943,G:HGNC:15993
D:DiseaseID:12944,G:HGNC:1618
D:DiseaseID:12945,G:HGNC:15512
D:DiseaseID:12946,G:HGNC:19706
D:DiseaseID:12947,G:HGNC:25557
D:DiseaseID:12948,G:HGNC:29945
D:DiseaseID:12949,G:HGNC:29944
D:DiseaseID:12950,G:HGNC:14579
D:DiseaseID:12951,G:HGNC:18179
D:DiseaseID:12759,G:HGNC:20391
D:DiseaseID:12953,G:HGNC:30765
D:DiseaseID:12954,G:HGNC:28883
D:DiseaseID:12955,G:HGNC:28883
D:DiseaseID:12956,G:HGNC:21698
D:DiseaseID:12957,G:HGNC:17550
D:DiseaseID:12958,G:HGNC:21390
D:DiseaseID:12836,G:HGNC:28396
D:DiseaseID:12960,G:HGNC:26114
D:DiseaseID:12961,G:HGNC:25223
D:DiseaseID:12962,G:HGNC:20611
D:DiseaseID:12963,G:HGNC:18591
D:DiseaseID:12964,G:HGNC:18591
D:DiseaseID:12965,G:HGNC:18591
D:DiseaseID:12966,G:HGNC:17208
D:DiseaseID:12967,G:HGNC:21205
D:DiseaseID:12968,G:HGNC:25523
D:DiseaseID:12969,G:HGNC:25133
D:DiseaseID:12970,G:HGNC:18053
D:DiseaseID:12971,G:HGNC:18688
D:DiseaseID:12972,G:HGNC:5147
D:DiseaseID:12973,G:HGNC:17800
D:DiseaseID:12974,G:HGNC:23503
D:DiseaseID:12975,G:HGNC:23168
D:DiseaseID:12976,G:HGNC:23168
D:DiseaseID:12977,G:HGNC:19102
D:DiseaseID:12978,G:HGNC:11013
D:DiseaseID:12979,G:HGNC:19688
D:DiseaseID:12980,G:HGNC:21679
D:DiseaseID:12981,G:HGNC:20134
D:DiseaseID:12982,G:HGNC:17245
D:DiseaseID:12983,G:HGNC:30228
D:DiseaseID:12984,G:HGNC:19263
D:DiseaseID:12985,G:HGNC:17797
D:DiseaseID:12986,G:HGNC:17619
D:DiseaseID:12987,G:HGNC:3438
D:DiseaseID:12988,G:HGNC:16873
D:DiseaseID:12989,G:HGNC:18550
D:DiseaseID:12990,G:HGNC:7325
D:DiseaseID:12991,G:HGNC:20249
D:DiseaseID:12992,G:HGNC:19687
D:DiseaseID:12993,G:HGNC:28952
D:DiseaseID:12994,G:HGNC:17168
D:DiseaseID:12995,G:HGNC:29929
D:DiseaseID:12996,G:HGNC:29501
D:DiseaseID:12997,G:HGNC:25072
D:DiseaseID:12998,G:HGNC:18276
D:DiseaseID:12999,G:HGNC:1304
D:DiseaseID:13000,G:HGNC:16001
D:DiseaseID:13001,G:HGNC:24682
D:DiseaseID:13002,G:HGNC:29079
D:DiseaseID:13003,G:HGNC:16510
D:DiseaseID:13004,G:HGNC:17772
D:DiseaseID:13005,G:HGNC:21694
D:DiseaseID:13006,G:HGNC:30802
D:DiseaseID:13007,G:HGNC:6408
D:DiseaseID:13008,G:HGNC:6408
D:DiseaseID:13009,G:HGNC:1386
D:DiseaseID:13010,G:HGNC:25396
D:DiseaseID:13011,G:HGNC:25396
D:DiseaseID:13012,G:HGNC:23399
D:DiseaseID:13013,G:HGNC:23399
D:DiseaseID:13014,G:HGNC:27960
D:DiseaseID:13015,G:HGNC:23595
D:DiseaseID:13016,G:HGNC:18453
D:DiseaseID:13017,G:HGNC:23228
D:DiseaseID:13018,G:HGNC:15888
D:DiseaseID:13019,G:HGNC:17655
D:DiseaseID:13020,G:HGNC:22962
D:DiseaseID:13021,G:HGNC:16791
D:DiseaseID:13022,G:HGNC:23056
D:DiseaseID:13023,G:HGNC:20662
D:DiseaseID:13024,G:HGNC:20858
D:DiseaseID:13025,G:HGNC:20858
D:DiseaseID:13026,G:HGNC:20859
D:DiseaseID:13027,G:HGNC:24154
D:DiseaseID:13028,G:HGNC:21086
D:DiseaseID:13029,G:HGNC:22965
D:DiseaseID:13030,G:HGNC:27337
D:DiseaseID:13031,G:HGNC:21082
D:DiseaseID:13032,G:HGNC:13433
D:DiseaseID:13033,G:HGNC:29529
D:DiseaseID:13034,G:HGNC:30172
D:DiseaseID:13035,G:HGNC:24265
D:DiseaseID:13036,G:HGNC:30611
D:DiseaseID:13037,G:HGNC:29514
D:DiseaseID:13038,G:HGNC:24668
D:DiseaseID:13039,G:HGNC:2799
D:DiseaseID:13040,G:HGNC:2799
D:DiseaseID:13041,G:HGNC:23212
D:DiseaseID:13042,G:HGNC:18683
D:DiseaseID:13043,G:HGNC:16877
D:DiseaseID:13044,G:HGNC:22986
D:DiseaseID:13045,G:HGNC:17089
D:DiseaseID:13046,G:HGNC:11842
D:DiseaseID:13047,G:HGNC:24464
D:DiseaseID:13048,G:HGNC:20577
D:DiseaseID:13049,G:HGNC:16732
D:DiseaseID:13050,G:HGNC:14357
D:DiseaseID:13014,G:HGNC:18762
D:DiseaseID:13052,G:HGNC:1181
D:DiseaseID:13053,G:HGNC:18712
D:DiseaseID:13054,G:HGNC:17996
D:DiseaseID:13055,G:HGNC:3705
D:DiseaseID:13056,G:HGNC:28929
D:DiseaseID:13057,G:HGNC:28929
D:DiseaseID:13058,G:HGNC:7677
D:DiseaseID:13059,G:HGNC:30587
D:DiseaseID:13060,G:HGNC:3513
D:DiseaseID:13061,G:HGNC:29427
D:DiseaseID:13062,G:HGNC:19691
D:DiseaseID:13063,G:HGNC:16147
D:DiseaseID:13064,G:HGNC:18674
D:DiseaseID:13065,G:HGNC:11204
D:DiseaseID:13066,G:HGNC:11204
D:DiseaseID:13067,G:HGNC:18340
D:DiseaseID:13068,G:HGNC:14103
D:DiseaseID:13069,G:HGNC:15517
D:DiseaseID:13070,G:HGNC:23161
D:DiseaseID:13071,G:HGNC:23161
D:DiseaseID:13072,G:HGNC:609
D:DiseaseID:13073,G:HGNC:13478
D:DiseaseID:13074,G:HGNC:21732
D:DiseaseID:13075,G:HGNC:21424
D:DiseaseID:13076,G:HGNC:15625
D:DiseaseID:13077,G:HGNC:15625
D:DiseaseID:13078,G:HGNC:16232
D:DiseaseID:13079,G:HGNC:23159
D:DiseaseID:13080,G:HGNC:1395
D:DiseaseID:13082,G:HGNC:30225
D:DiseaseID:13083,G:HGNC:30224
D:DiseaseID:13084,G:HGNC:7863
D:DiseaseID:13085,G:HGNC:13590
D:DiseaseID:13086,G:HGNC:18243
D:DiseaseID:13087,G:HGNC:17748
D:DiseaseID:13088,G:HGNC:30935
D:DiseaseID:13089,G:HGNC:12703
D:DiseaseID:13090,G:HGNC:17964
D:DiseaseID:13091,G:HGNC:28887
D:DiseaseID:13092,G:HGNC:4180
D:DiseaseID:13010,G:HGNC:19185
D:DiseaseID:13094,G:HGNC:2183
D:DiseaseID:13095,G:HGNC:105
D:DiseaseID:13096,G:HGNC:103
D:DiseaseID:13097,G:HGNC:19124
D:DiseaseID:13098,G:HGNC:2511
D:DiseaseID:13099,G:HGNC:13635
D:DiseaseID:13100,G:HGNC:18348
D:DiseaseID:13101,G:HGNC:1839
D:DiseaseID:13102,G:HGNC:20670
D:DiseaseID:13103,G:HGNC:10545
D:DiseaseID:13104,G:HGNC:10537
D:DiseaseID:13105,G:HGNC:10328
D:DiseaseID:13106,G:HGNC:17110
D:DiseaseID:13107,G:HGNC:12843
D:DiseaseID:13108,G:HGNC:4539
D:DiseaseID:13109,G:HGNC:4670
D:DiseaseID:13110,G:HGNC:19087
D:DiseaseID:13111,G:HGNC:6930
D:DiseaseID:13112,G:HGNC:17861
D:DiseaseID:13113,G:HGNC:18756
D:DiseaseID:13114,G:HGNC:15924
D:DiseaseID:13115,G:HGNC:4507
D:DiseaseID:13116,G:HGNC:11285
D:DiseaseID:13117,G:HGNC:18150
D:DiseaseID:13118,G:HGNC:19747
D:DiseaseID:13119,G:HGNC:18810
D:DiseaseID:13120,G:HGNC:568
D:DiseaseID:13121,G:HGNC:16393
D:DiseaseID:13122,G:HGNC:16393
D:DiseaseID:13123,G:HGNC:16393
D:DiseaseID:13124,G:HGNC:11427
D:DiseaseID:13125,G:HGNC:14957
D:DiseaseID:13126,G:HGNC:6121
D:DiseaseID:13127,G:HGNC:23734
D:DiseaseID:13128,G:HGNC:14630
D:DiseaseID:13129,G:HGNC:14927
D:DiseaseID:13130,G:HGNC:15622
D:DiseaseID:13131,G:HGNC:19358
D:DiseaseID:13132,G:HGNC:8620
D:DiseaseID:13133,G:HGNC:17989
D:DiseaseID:13134,G:HGNC:16852
D:DiseaseID:13135,G:HGNC:24969
D:DiseaseID:13136,G:HGNC:18084
D:DiseaseID:13137,G:HGNC:18084
D:DiseaseID:13138,G:HGNC:12616
D:DiseaseID:13139,G:HGNC:16466
D:DiseaseID:13140,G:HGNC:16429
D:DiseaseID:13141,G:HGNC:851
D:DiseaseID:13142,G:HGNC:7218
D:DiseaseID:13143,G:HGNC:1171
D:DiseaseID:13144,G:HGNC:18621
D:DiseaseID:13145,G:HGNC:15717
D:DiseaseID:13146,G:HGNC:6522
D:DiseaseID:13147,G:HGNC:18873
D:DiseaseID:13148,G:HGNC:15672
D:DiseaseID:13149,G:HGNC:15672
D:DiseaseID:13150,G:HGNC:854
D:DiseaseID:13151,G:HGNC:854
D:DiseaseID:13152,G:HGNC:14253
D:DiseaseID:13153,G:HGNC:11460
D:DiseaseID:13154,G:HGNC:15532
D:DiseaseID:13155,G:HGNC:4311
D:DiseaseID:13156,G:HGNC:15840
D:DiseaseID:13157,G:HGNC:13726
D:DiseaseID:13158,G:HGNC:16412
D:DiseaseID:13159,G:HGNC:19139
D:DiseaseID:13160,G:HGNC:406
D:DiseaseID:13161,G:HGNC:9453
D:DiseaseID:13162,G:HGNC:11834
D:DiseaseID:13163,G:HGNC:12015
D:DiseaseID:13164,G:HGNC:7150
D:DiseaseID:13165,G:HGNC:13273
D:DiseaseID:13166,G:HGNC:18337
D:DiseaseID:13167,G:HGNC:13818
D:DiseaseID:13168,G:HGNC:20456
D:DiseaseID:13169,G:HGNC:16297
D:DiseaseID:13170,G:HGNC:14374
D:DiseaseID:13171,G:HGNC:18142
D:DiseaseID:13172,G:HGNC:17367
D:DiseaseID:13173,G:HGNC:12269
D:DiseaseID:13174,G:HGNC:14341
D:DiseaseID:13175,G:HGNC:14341
D:DiseaseID:13176,G:HGNC:15968
D:DiseaseID:13177,G:HGNC:3344
D:DiseaseID:13178,G:HGNC:10778
D:DiseaseID:13179,G:HGNC:13222
D:DiseaseID:13180,G:HGNC:13222
D:DiseaseID:13181,G:HGNC:13221
D:DiseaseID:13182,G:HGNC:4218
D:DiseaseID:13183,G:HGNC:14409
D:DiseaseID:13184,G:HGNC:14409
D:DiseaseID:13185,G:HGNC:13937
D:DiseaseID:13186,G:HGNC:12877
D:DiseaseID:13187,G:HGNC:17284
D:DiseaseID:13188,G:HGNC:17284
D:DiseaseID:13189,G:HGNC:4177
D:DiseaseID:13190,G:HGNC:9811
D:DiseaseID:13191,G:HGNC:18155
D:DiseaseID:13119,G:HGNC:16035
D:DiseaseID:13193,G:HGNC:1232
D:DiseaseID:13194,G:HGNC:17233
D:DiseaseID:13195,G:HGNC:2859
D:DiseaseID:13196,G:HGNC:16400
D:DiseaseID:13197,G:HGNC:21014
D:DiseaseID:13198,G:HGNC:13890
D:DiseaseID:13199,G:HGNC:7728
D:DiseaseID:13200,G:HGNC:923
D:DiseaseID:13201,G:HGNC:14074
D:DiseaseID:13202,G:HGNC:17358
D:DiseaseID:13203,G:HGNC:14376
D:DiseaseID:13204,G:HGNC:443
D:DiseaseID:13205,G:HGNC:443
D:DiseaseID:13206,G:HGNC:10892
D:DiseaseID:13207,G:HGNC:13829
D:DiseaseID:13208,G:HGNC:13829
D:DiseaseID:13209,G:HGNC:16950
D:DiseaseID:13210,G:HGNC:14896
D:DiseaseID:13211,G:HGNC:12762
D:DiseaseID:13212,G:HGNC:16617
D:DiseaseID:13213,G:HGNC:14361
D:DiseaseID:13214,G:HGNC:2359
D:DiseaseID:13215,G:HGNC:9137
D:DiseaseID:13216,G:HGNC:15832
D:DiseaseID:13217,G:HGNC:13446
D:DiseaseID:13218,G:HGNC:8996
D:DiseaseID:13219,G:HGNC:3337
D:DiseaseID:13220,G:HGNC:1160
D:DiseaseID:13221,G:HGNC:1160
D:DiseaseID:13222,G:HGNC:28908
D:DiseaseID:13223,G:HGNC:15505
D:DiseaseID:13224,G:HGNC:16892
D:DiseaseID:13225,G:HGNC:16876
D:DiseaseID:13226,G:HGNC:13503
D:DiseaseID:13227,G:HGNC:17035
D:DiseaseID:13228,G:HGNC:449
D:DiseaseID:13229,G:HGNC:1142
D:DiseaseID:13230,G:HGNC:16915
D:DiseaseID:13231,G:HGNC:16636
D:DiseaseID:13232,G:HGNC:3188
D:DiseaseID:13233,G:HGNC:5331
D:DiseaseID:13234,G:HGNC:3007
D:DiseaseID:13235,G:HGNC:8966
D:DiseaseID:13236,G:HGNC:21144
D:DiseaseID:13237,G:HGNC:11386
D:DiseaseID:13238,G:HGNC:16039
D:DiseaseID:13239,G:HGNC:18294
D:DiseaseID:13240,G:HGNC:17582
D:DiseaseID:13241,G:HGNC:24475
